-1.0703,0.0,-0.5333,0.1,-0.0625,-0.9113,1.4553,1.4427,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,-0.0686
-1.0919,0.0,0.0,0.0,0.0,-0.9064,1.4472,1.4351,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,-0.0724
-1.1243,0.0,-0.4,0.1,0.125,-0.8916,1.4634,1.458,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,-0.1729
-1.1459,0.0,0.2667,0.0,0.1875,-0.8916,1.4715,1.4656,0.0,-0.0102,0.0,-0.5556,-0.1429,0.0,-0.343
-1.1622,0.0,-0.4,0.0,0.0312,-0.9557,1.439,1.4351,0.0,-0.0102,0.0,-0.3333,-0.1429,0.0,-0.4239
-1.1838,0.0,0.2,0.0,0.0938,-0.9557,1.4146,1.4122,0.0,-0.0102,0.0,-0.5556,-0.1429,0.0,-0.3741
-1.2,0.0,-0.3333,0.1,0.125,-0.9606,1.4146,1.4122,0.0,-0.0102,0.0,-0.2222,-0.1429,0.0,-0.3891
-1.1892,0.0,-0.3333,0.25,0.0625,-0.9704,1.374,1.374,0.0,-0.0102,0.0,0.0,-0.1429,0.0,-0.1626
-1.1892,0.0,-0.6,0.45,0.0312,-0.9803,1.3659,1.3664,0.0,-0.0102,0.0,0.2222,1.0,3.7273,0.0056
-1.1514,0.0,-0.6,0.1,-0.1875,-1.0246,1.3821,1.3817,0.0,0.1633,0.0,0.3333,1.1429,3.1818,0.1165
-1.0378,0.0,-0.1333,0.1,-0.375,-1.0099,1.3902,1.3817,0.75,0.6939,0.0,0.2222,0.4286,2.6364,-0.0545
-0.973,0.0,0.4667,0.1,-0.4688,-0.9951,1.3659,1.3511,1.25,1.2653,0.0,-0.1111,0.0,0.9091,0.0066
-0.9243,0.0,0.6667,0.1,-0.2812,-0.8719,1.2846,1.2748,1.25,1.4286,0.0,0.2222,1.0,0.8182,-0.0056
-0.8541,0.0,0.6,0.0,-0.2188,-0.7882,1.1951,1.1832,1.25,1.4388,0.0,0.1111,0.8571,0.8182,-0.407
-0.8649,0.0,1.1333,0.1,-0.1562,-0.7734,1.1545,1.145,1.25,1.0918,0.0,0.2222,1.0,0.8182,-0.3383
-0.8541,0.0,0.8,0.0,-0.3125,-0.8276,1.1789,1.1679,1.0,0.6633,0.0,-0.2222,0.2857,0.9091,-0.0912
-0.8216,0.0,0.9333,0.0,-0.3438,-0.8128,1.1707,1.1603,1.25,0.8776,0.0,-0.4444,0.1429,1.0,-0.1034
-0.8703,0.0,0.2667,0.1,-0.25,-0.8128,1.1951,1.1832,1.25,0.2755,0.0,-0.4444,0.1429,1.0,-0.0226
-0.9189,0.0,0.5333,0.0,-0.3438,-0.8966,1.2033,1.1985,0.125,0.0,0.0,-0.5556,0.0,0.9091,0.1786
-0.9459,0.0,0.9333,0.0,-0.3438,-0.9163,1.2683,1.2595,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.1081
-0.9838,0.0,1.1333,0.1,-0.4375,-0.9901,1.3008,1.2901,0.0,-0.0102,0.0,-0.5556,-0.1429,0.0,0.2086
-1.0216,0.0,0.5333,0.35,-0.625,-1.1133,1.3333,1.3282,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.3327
-1.0649,0.0,0.8667,0.1,-0.4062,-1.0443,1.3577,1.3511,0.0,-0.0102,0.0,-0.4444,-0.1429,0.0,0.2857
-1.0973,0.0,-0.4667,-1.25,-0.25,-1.0049,1.3415,1.3359,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.3327
-1.1351,0.0,-0.3333,0.25,-0.1875,-1.0148,1.3659,1.3664,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.3111
-1.1622,0.0,-0.6667,0.1,-0.125,-1.0148,1.3821,1.3817,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.2782
-1.1946,0.0,-0.3333,0.0,-0.0625,-1.0197,1.4146,1.4122,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.1945
-1.2054,0.0,-0.6,0.1,-0.0312,-1.0148,1.4146,1.4122,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.1024
-1.227,0.0,-0.3333,0.0,0.0938,-0.9901,1.374,1.374,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.0357
-1.2324,0.0,-0.6667,0.1,0.0312,-1.0197,1.3577,1.3588,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.0855
-1.2324,0.0,-0.8,0.0,0.0312,-1.0197,1.3902,1.3893,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.265
-1.2324,0.0,-0.7333,0.25,0.1562,-0.9754,1.4309,1.4275,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,0.1579
-1.2432,0.0,-0.6667,0.1,0.2188,-0.9655,1.4878,1.4885,0.0,-0.0102,0.0,-0.6667,-0.1429,0.0,-0.0226
-1.1784,0.0,-0.2667,0.25,-0.1562,-1.0394,1.5366,1.5267,0.75,0.2551,0.0,-0.6667,-0.1429,0.0,0.1325
-1.0757,0.0,-0.2,0.25,-0.5,-1.0936,1.561,1.542,1.25,0.8878,0.0,-0.6667,-0.1429,0.0,0.1165
-0.9946,0.0,0.2667,0.25,-0.7188,-1.1429,1.5122,1.4962,1.25,1.3776,0.0,-0.6667,-0.1429,0.0,-0.0902
